,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,labels
0,1,20,9,491,0,2,2,0.0,0.0,1.0,0.0,25,0.17,0.03,0.17,0.0,0.0,0.0,0.05,4
1,2,44,9,146,0,13,1,0.0,0.0,0.08,0.15,1,0.0,0.6,0.88,0.0,0.0,0.0,0.0,4
2,1,49,5,0,0,123,6,1.0,1.0,0.05,0.07,26,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0
3,1,24,9,232,8153,5,5,0.2,0.2,1.0,0.0,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,4
4,1,24,9,199,420,30,32,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,1,49,1,0,0,121,19,0.0,0.0,0.16,0.06,19,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0
6,1,49,5,0,0,166,9,1.0,1.0,0.05,0.06,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0
7,1,49,5,0,0,117,16,1.0,1.0,0.14,0.06,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0
8,1,51,5,0,0,270,23,1.0,1.0,0.09,0.05,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0
9,1,49,5,0,0,133,8,1.0,1.0,0.06,0.06,13,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0
10,1,49,1,0,0,205,12,0.0,0.0,0.06,0.06,12,0.05,0.07,0.0,0.0,0.0,0.0,1.0,0
11,1,49,5,0,0,199,3,1.0,1.0,0.02,0.06,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
12,1,24,9,287,2251,3,7,0.0,0.0,1.0,0.0,219,1.0,0.0,0.12,0.03,0.0,0.0,0.0,4
13,1,20,9,334,0,2,2,0.0,0.0,1.0,0.0,20,1.0,0.0,1.0,0.2,0.0,0.0,0.0,2
14,1,36,5,0,0,233,1,1.0,1.0,0.0,0.06,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0
15,1,38,5,0,0,96,16,1.0,1.0,0.17,0.05,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0
16,1,24,9,300,13788,8,9,0.0,0.11,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
17,0,14,9,18,0,1,1,0.0,0.0,1.0,0.0,16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
18,1,24,9,233,616,3,3,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.03,0.0,0.0,0.02,4
19,1,24,9,343,1178,9,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,4
20,1,35,5,0,0,223,23,1.0,1.0,0.1,0.05,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0
21,1,49,5,0,0,280,17,1.0,1.0,0.06,0.05,17,0.07,0.06,0.0,0.0,0.99,1.0,0.0,0
22,1,24,9,253,11905,8,10,0.0,0.0,1.0,0.0,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,4
23,2,44,9,147,105,1,1,0.0,0.0,1.0,0.0,1,0.0,0.85,1.0,0.0,0.0,0.0,0.0,4
24,1,35,5,0,0,248,2,1.0,1.0,0.01,0.06,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0
25,1,60,9,437,14421,1,1,0.0,0.0,1.0,0.0,25,0.1,0.05,0.0,0.0,0.53,0.0,0.02,4
26,1,49,5,0,0,279,7,1.0,1.0,0.03,0.06,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
27,1,24,9,227,6588,5,22,0.0,0.0,1.0,0.0,255,1.0,0.0,0.02,0.14,0.0,0.0,0.56,4
28,1,24,9,215,10499,14,14,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
29,1,24,9,241,1400,33,33,0.0,0.0,1.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
30,0,14,9,8,0,1,12,0.0,0.0,1.0,0.0,53,1.0,0.0,1.0,0.51,0.0,0.0,0.0,1
31,1,18,5,0,0,57,16,1.0,1.0,0.28,0.07,59,0.23,0.04,0.01,0.0,1.0,1.0,0.0,0
32,1,24,9,303,555,9,9,0.0,0.0,1.0,0.0,255,1.0,0.0,0.11,0.01,0.0,0.0,0.0,4
33,1,49,1,0,0,2,1,0.0,0.0,0.5,1.0,1,0.0,0.31,0.28,0.0,0.0,0.0,0.29,1
